"id" "region" "type_city" "type_school" "fund1" "fund2" "fund3" "fund4" "info1" "info2" "info3" "requirement1" "requirement2" "valuation1" "valuation2" "exchange" "culture" "intercultural_experiences" "foreign_languages" "gender1" "gender2" "soc_eco_disadvantage" "num_grade" "computer_stud" "connection" "portable" "whiteboards" "projectors" "computer_teac" "teach_f1" "teach_p1" "teach_f2" "teach_p2" "teach_f3" "teach_p3" "teach_f4" "teach_p4" "teach_f5" "teach_p5" "class" "left" "language_lessons" "help1" "help2" "help3"
"76" 38000077 "Italy" "city" 0 75 1 0 24 "agree" "disagree" "disagree" "always" "sometimes" "school initiative" "mandatory" 1 1 1 1 380 428 20 60 225 225 15 44 3 45 NA NA NA NA NA NA NA NA NA NA "16-20 students" 3 1 1 1 0
"77" 38000078 "Bolzano" "town" 0 100 0 0 0 "strongly agree" "agree" "disagree" "sometimes" "always" "mandatory" "no" 0 1 0 1 82 36 25 23 23 23 0 1 10 20 19 6 16 0 12 2 0 0 0 0 "15 students or fewer" 15 1 1 0 0
"78" 38000079 "Toscana" "town" 0 80 20 0 0 "agree" "agree" "agree" "never" "always" "no" "mandatory" 1 1 0 0 542 597 4 231 110 110 5 10 3 6 193 5 105 0 13 0 180 5 0 0 "21-25 students" 15 0 0 0 1
"79" 38000080 "Bolzano" "city" 1 85 10 NA 5 "agree" "agree" "agree" "always" "always" "school initiative" "mandatory" 1 1 1 1 1 102 NA 21 35 35 1 0 2 35 1 23 NA NA 0 NA NA NA 1 NA "21-25 students" NA 1 1 1 1
"80" 38000081 "Italy" "small town" 0 28 65 NA 7 "disagree" "agree" "agree" "always" "sometimes" "school initiative" "school initiative" 1 1 1 1 153 110 50 46 0 0 0 0 2 2 35 5 20 2 30 1 25 1 0 0 "21-25 students" NA 0 1 1 1
"81" 38000082 "Sardegna" "town" 0 70 0 30 0 "disagree" "strongly disagree" "strongly disagree" "never" "sometimes" "mandatory" "no" 1 1 0 1 161 177 23 126 6 6 6 18 1 18 44 19 NA 7 5 2 NA 5 0 0 "21-25 students" 2 0 0 0 1
"82" 38000083 "Trento" "city" 0 94 1 NA 5 "agree" "disagree" "agree" "always" "always" "mandatory" "mandatory" 1 0 1 1 1400 120 0 275 220 220 100 75 80 50 211 10 211 10 203 7 5 0 3 0 "21-25 students" 0 1 1 1 1
"83" 38000084 "Italy" "small town" 0 20 40 0 40 "agree" "disagree" "disagree" "always" "always" "school initiative" "mandatory" 0 1 1 1 325 631 50 197 63 63 33 34 35 50 88 2 88 NA NA NA NA NA 1 NA "16-20 students" NA 1 NA NA 1
"84" 38000085 "Italy" "town" 0 35 12 0 53 "disagree" "agree" "strongly disagree" "always" "sometimes" "school initiative" "mandatory" 1 1 1 1 396 1075 1 276 95 95 25 8 10 6 139 13 139 13 139 13 60 0 2 0 "21-25 students" 2 1 NA 1 1
"85" 38000086 "Trento" "small town" 0 71 0 24 5 "disagree" "disagree" "agree" "never" "always" "mandatory" "no" 1 0 0 1 80 103 0 183 180 180 180 60 60 6 99 33 84 20 4 5 93 27 2 0 "16-20 students" 0 1 1 0 1
"86" 38000087 "Bolzano" "small town" 0 90 10 NA NA "agree" "disagree" "agree" "never" "always" "school initiative" "mandatory" 1 1 0 1 182 104 3 55 60 60 36 2 25 20 69 10 60 NA 0 NA 60 NA 2 NA "16-20 students" 1 1 1 1 1
"87" 38000088 "Italy" "town" 0 81 7 12 0 "agree" "disagree" "strongly disagree" "always" "sometimes" "school initiative" "mandatory" 0 0 1 1 382 438 4 174 60 60 60 22 3 8 104 11 96 11 92 11 0 0 0 0 "16-20 students" NA 1 1 1 1
"88" 38000089 "Sardegna" "town" 0 40 20 10 30 "agree" "disagree" "disagree" "always" "always" "mandatory" "no" 1 1 0 1 255 189 50 90 5 5 5 30 32 3 81 25 44 11 0 0 63 20 0 0 "16-20 students" 20 1 0 1 1
"89" 38000090 "Italy" "town" 0 87 13 0 0 "strongly disagree" "disagree" "strongly disagree" "sometimes" "sometimes" "mandatory" "mandatory" 0 1 0 0 562 100 14 129 50 50 0 28 6 40 74 12 74 3 13 3 61 6 0 0 "16-20 students" 6 1 0 0 0
"90" 38000091 "Italy" "large city" 0 54 32 NA 14 "disagree" "disagree" "agree" "always" "always" "mandatory" "no" 1 1 0 1 335 708 4 197 30 30 0 12 4 8 127 10 NA 9 0 0 NA 9 2 0 "21-25 students" 1 0 0 0 1
"91" 38000092 "Italy" "town" 0 20 60 0 20 "strongly agree" "disagree" "agree" "never" "always" "mandatory" "no" 0 1 0 1 220 870 4 245 70 70 10 40 5 100 105 15 NA 10 NA 0 0 0 1 0 "21-25 students" 0 1 1 0 1
"92" 38000093 "Bolzano" "village" 0 100 0 0 0 "agree" "agree" "agree" "never" "sometimes" "mandatory" "mandatory" 0 1 1 1 6 45 NA 14 20 20 0 0 5 2 17 4 13 NA 16 4 16 4 0 0 "15 students or fewer" NA 0 0 0 0
"93" 38000094 "Bolzano" "town" 0 96 2 0 2 "agree" "disagree" "disagree" "never" "always" "school initiative" "mandatory" 0 1 0 1 41 90 8 38 38 38 0 23 7 5 19 25 18 23 1 2 18 23 1 1 "16-20 students" NA 1 1 0 1
"94" 38000095 "Trento" "small town" 1 100 NA NA NA "strongly agree" "agree" "agree" "never" "always" "school initiative" "mandatory" 0 1 0 1 23 223 40 60 60 60 30 10 10 63 29 2 26 2 29 2 2 0 0 0 "21-25 students" 1 0 1 1 1
"95" 38000096 "Bolzano" "small town" 0 98 0 0 2 "strongly agree" "agree" "agree" "sometimes" "sometimes" "mandatory" "mandatory" 1 1 1 1 190 190 10 78 NA NA NA 1 26 NA 33 35 23 18 NA NA NA NA 1 NA "16-20 students" 4 1 1 1 1
"96" 38000097 "Italy" "town" 0 36 57 7 0 "agree" "agree" "agree" "never" "never" "mandatory" "mandatory" 0 1 1 1 583 163 NA 138 70 70 20 30 7 50 82 27 64 8 53 0 5 0 1 0 "21-25 students" 1 0 1 0 1
