"school_id";"gender";"immigration";"language";"hisced";"grade_rep";"fear_failure";"belonging";"bullied";"home_poss";"cult_poss";"edu_resources";"family_wealth";"ESCS_status";"teacher_support";"emo_sup";"learn_time_math";"learn_time_read";"learn_time_scie";"math";"read";"scie";"class_size";"stud_teach_ratio";"short_edu_mat";"short_edu_staff";"stu_behav";"teach_behav"
44200006;1;3;2;6;0;-0.0845;0.1731;1.4454;1.8606;0.9217;0.031;2.1644;1.1211;0.2048;1.0346;165;220;275;587.637;450.506;571.326;13;9.5185;-0.5939;-1.5765;-1.9698;-2.0409
44200006;1;3;3;6;0;0.5949;1.4903;0.2907;0.6651;0.5536;-0.4903;0.8424;0.8714;0.6259;-0.6576;165;220;275;682.12;615.533;599.924;13;9.5185;-0.5939;-1.5765;-1.9698;-2.0409
44200006;1;1;2;6;0;-0.687;-3.2367;-0.7823;1.9157;1.5766;1.1793;0.7865;1.7978;1.314;1.0346;165;220;275;579.269;601.444;634.342;13;9.5185;-0.5939;-1.5765;-1.9698;-2.0409
44200006;1;1;2;6;0;-0.687;1.4685;-0.7823;2.0184;1.5766;1.1793;1.3196;1.452;0.4394;1.0346;165;275;275;564.286;561.117;511.895;13;9.5185;-0.5939;-1.5765;-1.9698;-2.0409
44200006;0;3;3;6;0;1.8905;-0.6913;0.1462;3.1173;1.5766;1.1793;1.8101;2.3228;0.7015;1.0346;165;220;275;549.391;600.993;540.295;13;9.5185;-0.5939;-1.5765;-1.9698;-2.0409
44200006;0;3;3;5;0;0.1097;0.1554;-0.7823;0.8942;1.5766;0.0477;0.205;0.9278;-0.2441;1.0346;150;200;250;580.607;411.447;443.841;13;9.5185;-0.5939;-1.5765;-1.9698;-2.0409
44200006;1;3;2;6;0;-0.3799;0.1935;-0.7823;1.2072;-0.0307;1.1793;1.9961;1.3007;1.314;-0.6576;165;220;275;599.753;590.119;555.052;13;9.5185;-0.5939;-1.5765;-1.9698;-2.0409
44200006;1;1;0;6;0;-1.8939;0.9683;-0.7823;3.055;1.182;1.1793;3.5475;2.2965;0.4394;1.0346;165;275;275;541.78;578.703;558.672;13;9.5185;-0.5939;-1.5765;-1.9698;-2.0409
44200006;0;3;3;6;0;0.8794;0.6818;-0.7823;0.6807;0.3776;1.1793;0.4535;1.0779;0.7628;0.6402;165;220;275;666.818;535.098;555.929;13;9.5185;-0.5939;-1.5765;-1.9698;-2.0409
44200006;0;1;2;6;1;1.8905;-1.5698;1.7316;1.1994;0.0831;1.1793;1.5218;0.7552;1.314;-2.4468;165;220;275;485.29;424.043;445.21;13;9.5185;-0.5939;-1.5765;-1.9698;-2.0409
44200007;1;1;0;5;0;-0.0288;2.7249;-0.7823;-0.4946;0.3264;1.1793;-1.2237;-2e-04;-0.9514;-2.0819;540;90;0;567.382;570.834;515.238;23;9.1395;0.502;0.9013;-0.1493;0.2266
44200007;0;1;0;6;0;0.5428;1.4685;0.2907;0.6945;0.0831;1.1793;0.5891;1.1645;-1.1846;0.3622;90;90;0;524.475;613.324;517.528;23;9.1395;0.502;0.9013;-0.1493;0.2266
44200007;1;1;0;5;0;0.052;-0.4509;1.1625;0.786;0.9816;1.1793;0.3683;0.5633;-0.2023;-0.6576;90;90;0;521.189;494.756;580.32;23;9.1395;0.502;0.9013;-0.1493;0.2266
44200007;1;1;0;6;0;-1.8939;2.7249;-0.7823;1.6191;0.9816;0.1806;1.3796;1.4939;0.7015;1.0346;540;90;0;417.789;418.073;461.933;23;9.1395;0.502;0.9013;-0.1493;0.2266
44200008;1;1;0;6;0;-0.7592;0.9517;0.2907;2.129;1.182;1.1793;1.2004;1.7097;0.4394;0.6402;200;150;200;612.996;544.512;534.998;23;11.0518;-0.2177;0.1495;-0.7363;0.2266
44200008;1;1;0;6;0;-0.9295;0.6818;-0.7823;-0.1744;-0.6917;-0.6122;0.4102;0.7968;-0.8905;1.0346;200;200;150;602.056;616.937;581.309;23;11.0518;-0.2177;0.1495;-0.7363;0.2266
44200008;0;1;0;6;0;0.4637;-0.6659;-0.7823;1.1003;0.654;-0.1357;1.4985;1.3363;-0.8905;-0.6576;250;250;100;594.933;518.407;511.23;23;11.0518;-0.2177;0.1495;-0.7363;0.2266
44200008;0;2;2;6;0;1.1422;0.3018;-0.7823;1.0912;0.9816;1.1793;0.6411;1.3833;-0.1605;-1.1847;300;150;250;622.638;630.126;619.449;23;11.0518;-0.2177;0.1495;-0.7363;0.2266
44200008;1;1;0;6;0;-0.3799;0.4951;-0.7823;0.2053;-0.6917;-0.1357;0.5204;0.9575;-1.0955;-1.3914;200;150;100;562.349;412.777;553.139;23;11.0518;-0.2177;0.1495;-0.7363;0.2266
44200008;1;1;2;6;1;0.4637;-0.6098;1.1625;0.2658;-0.438;-0.1614;0.4024;0.97;-1.5103;1.0346;200;150;100;485.473;531.547;485.947;23;11.0518;-0.2177;0.1495;-0.7363;0.2266
44200008;0;1;0;4;0;0.4637;0.3018;-0.7823;0.8367;0.4196;1.1793;1.1522;-0.3923;-0.5488;-0.6576;200;150;200;742.724;602.391;576.909;23;11.0518;-0.2177;0.1495;-0.7363;0.2266
44200008;1;2;2;4;0;0.9109;-0.9111;1.2618;0.2178;0.0359;-0.1357;0.6598;-0.4783;1.314;-0.6576;200;200;100;642.913;618.583;544.337;23;11.0518;-0.2177;0.1495;-0.7363;0.2266
44200008;0;1;0;5;0;0.8794;0.472;-0.7823;0.8998;0.611;1.1793;0.2801;0.531;-0.7894;0.3622;200;200;200;677.183;666.161;613.577;23;11.0518;-0.2177;0.1495;-0.7363;0.2266
44200008;1;1;0;6;0;1.4083;-1.1736;0.8233;2.3394;1.5766;-0.1357;2.1706;1.9115;-1.555;1.0346;200;150;150;390.784;337.467;372.342;23;11.0518;-0.2177;0.1495;-0.7363;0.2266
44200008;1;2;2;5;0;-1.1858;-0.1941;-0.7823;-0.4746;0.0912;-1.2793;0.0412;-0.6916;-0.5287;-1.3939;200;200;200;492.326;491.784;553.434;23;11.0518;-0.2177;0.1495;-0.7363;0.2266
44200008;0;3;2;6;0;-1.8939;-0.0649;-0.7823;0.6932;0.9816;1.1793;-0.1;0.0747;-2.7106;0.3622;200;200;150;524.99;584.816;549.218;23;11.0518;-0.2177;0.1495;-0.7363;0.2266
44200008;1;1;0;6;0;-1.4242;0.6818;-0.7823;1.1662;1.5766;1.1793;0.0175;1.415;-0.1206;1.0346;200;150;200;661.585;704.212;633.098;23;11.0518;-0.2177;0.1495;-0.7363;0.2266
44200008;1;2;2;5;0;0.052;-0.4509;-0.7823;-0.0944;-1.1503;1.1793;0.2618;0.4064;-0.0037;-1.0657;200;250;200;669.358;615.142;604.911;23;11.0518;-0.2177;0.1495;-0.7363;0.2266
44200008;0;2;3;6;0;1.4083;-0.6693;0.7703;0.9675;-0.126;1.1793;1.7602;0.9495;-0.8998;-1.5824;200;250;200;533.02;502.768;478.614;23;11.0518;-0.2177;0.1495;-0.7363;0.2266
44200008;1;1;0;6;0;-0.0288;0.6818;0.2907;2.6937;1.182;1.1793;2.0672;1.8677;-0.1512;-0.9122;220;220;165;624.302;641.845;621.753;23;11.0518;-0.2177;0.1495;-0.7363;0.2266
44200008;0;1;0;6;0;1.3423;-0.3184;-0.7823;0.9983;0.1864;-0.6853;1.5666;1.4638;-1.8358;0.2169;200;200;150;606.575;585.685;545.585;23;11.0518;-0.2177;0.1495;-0.7363;0.2266
44200008;1;3;2;6;0;-0.687;-0.1769;-0.7823;1.7674;1.5766;-0.1357;1.2327;1.7266;1.314;1.0346;330;275;110;510.191;482.725;499.858;23;11.0518;-0.2177;0.1495;-0.7363;0.2266
44200008;0;1;0;5;0;-0.3799;-0.0845;-0.7823;0.6642;-0.438;1.1793;1.2543;0.4852;-0.9867;-0.6576;200;200;100;452.309;491.638;517.572;23;11.0518;-0.2177;0.1495;-0.7363;0.2266
