"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "fear_failure" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "school_changes" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "stud_teach_ratio" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav"
"231" 5600008 0 3 0 6 0 -0.3799 0.9423 -0.7823 1.5508 1.1392 1.1793 1.1207 0.8986 0.4522 1.0346 0 200 200 150 605.058 546.089 575.019 23 13.3333 -1.4212 -1.4551 0.7754 0.8468
"232" 5600008 0 1 0 5 0 -0.687 0.3241 -0.7823 0.8836 -0.0455 1.1793 1.1607 0.4893 1.314 -0.6576 0 200 200 150 571.199 492.578 589.894 23 13.3333 -1.4212 -1.4551 0.7754 0.8468
"233" 5600008 0 1 0 6 0 0.8207 0.6818 -0.7823 0.1999 -0.4961 1.1793 0.3191 0.8731 -0.6587 1.0346 0 200 200 150 562.152 501.072 574.313 23 13.3333 -1.4212 -1.4551 0.7754 0.8468
"235" 5600008 0 1 0 5 0 1.1911 -0.3184 1.1211 1.5307 1.9314 1.1793 0.7852 1.0988 -0.2023 1.0346 0 200 200 150 598.25 506.224 592.5 23 13.3333 -1.4212 -1.4551 0.7754 0.8468
"236" 5600008 0 1 0 4 0 0.052 0.9423 -0.7823 0.493 0.2634 1.1793 0.3682 0.438 -0.2023 0.6364 0 250 200 150 612.287 575.575 654.639 23 13.3333 -1.4212 -1.4551 0.7754 0.8468
"237" 5600008 1 1 1 6 0 -1.4242 0.6818 0.2907 0.9055 0.4713 1.1793 1.0872 1.2184 0.0297 1.0346 1 250 200 300 615.584 459.873 541.477 23 13.3333 -1.4212 -1.4551 0.7754 0.8468
"238" 5600008 0 1 0 6 0 1.3423 -0.5957 0.2907 -0.6023 -0.7097 -0.4903 -0.2053 0.5569 1.314 0.6402 0 250 200 200 599.274 623.931 598.685 23 13.3333 -1.4212 -1.4551 0.7754 0.8468
"239" 5600008 0 1 0 4 0 -0.2006 0.2243 0.2907 -0.1736 0.5521 0.1806 -1.009 -0.8863 -0.7769 -0.6576 0 200 200 150 585.642 551.375 627.218 23 13.3333 -1.4212 -1.4551 0.7754 0.8468
"240" 5600008 1 1 1 6 0 0.9109 0.0348 -0.7823 0.0199 -1.2782 1.1793 0.6447 -0.42 0.3995 1.0346 0 250 200 350 663.111 625.538 715.122 23 13.3333 -1.4212 -1.4551 0.7754 0.8468
"242" 5600008 0 1 0 5 0 -0.687 0.0348 -0.7823 1.1911 1.1392 1.1793 0.6715 0.7347 0.4522 -0.6576 0 200 200 150 602.615 497.833 551.77 23 13.3333 -1.4212 -1.4551 0.7754 0.8468
