"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "fear_failure" "belonging" "bullied" "ESCS_status" "teacher_support" "emo_sup" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "stud_teach_ratio" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav" "teach_multicult" "private"
"200" 75600007 1 1 2 3 0 -0.687 -0.1049 -0.7823 -0.9471 -0.4082 0.5029 225 270 135 636.026 640.887 612.932 23 14.7321 0.1031 -1.4551 0.6764 0.4883 -1.0542 "public"
"202" 75600007 1 3 2 4 0 -1.8939 3.22 -0.7823 -0.9064 -0.3352 1.0346 225 270 225 468.16 434.821 508.665 23 14.7321 0.1031 -1.4551 0.6764 0.4883 -1.0542 "public"
"203" 75600007 0 3 2 1 1 -0.3009 0.1974 -0.7823 -1.75 -0.3673 1.0346 225 270 180 464.243 409.641 419.819 23 14.7321 0.1031 -1.4551 0.6764 0.4883 -1.0542 "public"
"205" 75600007 1 3 3 6 0 -1.4869 0.7364 -0.7823 -0.2889 -0.819 1.0346 275 330 110 424.706 321.088 356.143 23 14.7321 0.1031 -1.4551 0.6764 0.4883 -1.0542 "public"
"207" 75600007 1 1 2 6 0 -0.3799 0.1549 0.7703 1.3438 -0.0439 -0.6576 225 270 135 478.735 525.258 533.003 23 14.7321 0.1031 -1.4551 0.6764 0.4883 -1.0542 "public"
"208" 75600007 0 2 2 1 0 0.176 0.8817 -0.7823 -1.102 0.481 1.0346 225 270 90 485.143 498.813 511.117 23 14.7321 0.1031 -1.4551 0.6764 0.4883 -1.0542 "public"
"209" 75600007 1 2 2 2 0 -0.687 0.5698 -0.7823 -0.2965 0.7015 0.5029 225 270 90 524.655 431.567 398.934 23 14.7321 0.1031 -1.4551 0.6764 0.4883 -1.0542 "public"
"210" 75600007 1 3 2 1 0 -1.8939 0.4221 -0.7823 -2.4408 -0.5488 -1.5824 270 270 90 453.408 469.465 517.923 23 14.7321 0.1031 -1.4551 0.6764 0.4883 -1.0542 "public"
"211" 75600007 0 3 2 0 1 -1.4242 -0.7239 -0.7823 -2.7057 1.314 0.6364 270 270 90 355.681 359.734 320.026 23 14.7321 0.1031 -1.4551 0.6764 0.4883 -1.0542 "public"
"212" 75600007 1 2 2 6 0 -1.8939 -1.806 1.1625 -0.5927 -1.464 -1.3914 350 450 150 436.377 444.396 467.156 23 14.7321 0.1031 -1.4551 0.6764 0.4883 -1.0542 "public"
"214" 75600007 1 3 2 2 0 -0.687 -0.7722 0.7703 -1.4859 1.314 -1.7671 270 270 90 454.124 462.577 481.048 23 14.7321 0.1031 -1.4551 0.6764 0.4883 -1.0542 "public"
"216" 75600007 0 2 3 6 0 -0.0845 -0.682 1.1928 -0.1825 0.1924 -0.6576 225 270 135 501.332 512.421 509.818 23 14.7321 0.1031 -1.4551 0.6764 0.4883 -1.0542 "public"
"217" 75600007 1 1 2 6 0 -0.4939 -0.3091 -0.7823 1.1238 0.7628 1.0346 225 225 90 667.875 616.165 717.129 23 14.7321 0.1031 -1.4551 0.6764 0.4883 -1.0542 "public"
"219" 75600008 0 1 0 5 0 -0.687 0.6818 -0.7823 -0.2395 -0.9734 1.0346 225 225 180 624.644 576.073 538.175 23 14.3922 0.4292 -1.4551 0.6826 0.9355 0.3009 "public"
"220" 75600008 1 1 0 6 0 -0.7592 0.6576 1.2327 1.0405 -0.7857 0.2169 225 180 180 607.089 535.697 576.688 23 14.3922 0.4292 -1.4551 0.6826 0.9355 0.3009 "public"
"222" 75600008 1 1 0 6 0 -1.2319 0.4766 -0.7823 0.5671 -2.1621 1.0346 225 225 180 410.691 371.227 369.184 23 14.3922 0.4292 -1.4551 0.6826 0.9355 0.3009 "public"
"223" 75600008 0 1 0 2 1 0.052 0.9517 -0.7823 -1.8811 -0.1206 -0.6576 360 180 225 334.362 451.233 498.015 23 14.3922 0.4292 -1.4551 0.6826 0.9355 0.3009 "public"
"225" 75600008 1 1 0 3 0 -1.8939 0.4381 0.2907 -0.4669 0.4394 1.0346 360 225 180 518.301 518.06 544.855 23 14.3922 0.4292 -1.4551 0.6826 0.9355 0.3009 "public"
"226" 75600008 1 1 0 4 1 1.8905 2.7249 0.2907 0.0202 0.4394 0.6402 225 180 90 472.019 464.699 461.256 23 14.3922 0.4292 -1.4551 0.6826 0.9355 0.3009 "public"
