"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "fear_failure" "belonging" "bullied" "ESCS_status" "teacher_support" "emo_sup" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav" "private"
"164" 4000007 1 1 0 6 0 -0.9295 2.7249 -0.7823 1.4447 0.3995 1.0346 150 150 450 623.596 603.731 684.62 23 0.4292 -0.2792 0.4282 0.6222 "missing"
"168" 4000007 1 1 0 6 0 -1.8939 -0.9879 -0.7823 1.3966 0.3995 1.0346 150 150 700 549.613 610.296 550.026 23 0.4292 -0.2792 0.4282 0.6222 "missing"
"170" 4000007 1 1 0 6 0 -0.4342 0.6987 -0.7823 0.9468 0.7015 1.0346 200 150 200 587.306 504.106 569.936 23 0.4292 -0.2792 0.4282 0.6222 "missing"
"172" 4000007 0 2 2 6 0 0.1097 0.9517 0.1462 0.5345 -1.4974 -1.1847 250 150 450 476.667 535.676 533.613 23 0.4292 -0.2792 0.4282 0.6222 "missing"
"173" 4000007 0 1 0 6 0 -0.3498 -0.5552 0.8233 0.4335 0.7628 -0.6576 400 100 350 510.958 492.319 481.212 23 0.4292 -0.2792 0.4282 0.6222 "missing"
"174" 4000007 0 1 0 6 0 0.8207 0.1634 -0.7823 0.6177 0.4522 0.5029 200 150 400 540.905 620.574 592.976 23 0.4292 -0.2792 0.4282 0.6222 "missing"
"177" 4000007 0 1 0 6 0 -1.4242 0.1634 1.1928 0.7705 -1.8485 1.0346 200 150 500 715.397 715.223 692.854 23 0.4292 -0.2792 0.4282 0.6222 "missing"
"180" 4000007 0 1 0 6 0 0.1097 0.4846 -0.7823 1.6552 -0.9734 1.0346 150 150 250 489.952 472.17 420.461 23 0.4292 -0.2792 0.4282 0.6222 "missing"
"181" 4000007 1 2 3 4 0 0.4637 0.2863 -0.7823 -0.5933 -0.8065 1.0346 150 150 300 513.412 520.924 587.538 23 0.4292 -0.2792 0.4282 0.6222 "missing"
"182" 4000007 1 1 0 6 0 -0.0845 1.4326 1.1729 1.2652 -0.0771 0.6402 225 135 270 543.075 613.951 632.782 23 0.4292 -0.2792 0.4282 0.6222 "missing"
"185" 4000007 1 3 0 6 0 1.8905 0.4951 -0.7823 0.9696 -0.7475 1.0346 250 150 300 643.424 589.087 627.922 23 0.4292 -0.2792 0.4282 0.6222 "missing"
"186" 4000007 0 1 0 6 1 -0.687 -1.6792 0.7703 0.6443 -1.0955 -1.0657 200 150 400 532.859 577.547 508.464 23 0.4292 -0.2792 0.4282 0.6222 "missing"
"187" 4000007 1 1 2 6 0 -0.7985 -1.1224 -0.7823 1.4418 0.3485 -1.8598 150 150 500 446.835 444.904 555.636 23 0.4292 -0.2792 0.4282 0.6222 "missing"
"188" 4000007 1 2 2 0 1 -0.2006 -0.7225 -0.7823 -3.3245 -2.7106 -1.3939 150 200 300 394.361 330.224 377.119 23 0.4292 -0.2792 0.4282 0.6222 "missing"
"189" 4000007 1 1 0 6 0 -0.13 0.4829 0.2907 1.1891 -0.9852 1.0346 200 150 500 605.898 630.554 635.561 23 0.4292 -0.2792 0.4282 0.6222 "missing"
"193" 4000007 1 3 2 6 0 -0.13 -0.2301 1.1928 0.6937 -0.2023 -1.4861 150 150 350 641.443 648.659 642.005 23 0.4292 -0.2792 0.4282 0.6222 "missing"
